,PM25
2022-07-03,59.791666666666664
2022-07-04,81.58333333333333
2022-07-05,92.70833333333333
2022-07-06,108.625
2022-07-07,157.04166666666666
2022-07-08,95.91666666666667
2022-07-09,40.583333333333336
2022-07-10,93.33333333333333
2022-07-11,69.33333333333333
2022-07-12,133.375
2022-07-13,73.95833333333333
2022-07-14,69.75
2022-07-15,66.58333333333333
2022-07-16,43.833333333333336
2022-07-17,15.416666666666666
2022-07-18,25.125
2022-07-19,32.958333333333336
2022-07-20,57.333333333333336
2022-07-21,111.66666666666667
2022-07-22,109.70833333333333
2022-07-23,95.125
2022-07-24,146.08333333333334
2022-07-25,100.70833333333333
2022-07-26,64.45833333333333
2022-07-27,19.59823945418714
2022-07-28,29.458333333333332
2022-07-29,62.416666666666664
2022-07-30,52.791666666666664
2022-07-31,37.125
2022-08-01,45.083333333333336
2022-08-02,64.0
2022-08-03,45.791666666666664
2022-08-04,151.16666666666666
2022-08-05,80.83333333333333
2022-08-06,31.333333333333332
2022-08-07,57.0
2022-08-08,21.791666666666668
2022-08-09,27.0
2022-08-10,41.625
2022-08-11,25.958333333333332
2022-08-12,64.70833333333333
2022-08-13,35.125
2022-08-14,31.125
2022-08-15,30.75
2022-08-16,36.041666666666664
2022-08-17,15.125
2022-08-18,20.375
2022-08-19,68.58333333333333
2022-08-20,43.875
2022-08-21,26.708333333333332
2022-08-22,33.541666666666664
2022-08-23,18.24107981806238
2022-08-24,26.25
2022-08-25,21.416666666666668
2022-08-26,37.083333333333336
2022-08-27,59.291666666666664
2022-08-28,100.125
2022-08-29,27.416666666666668
2022-08-30,29.958333333333332
