,Presion,Temperatura,HR,RapViento,O3,CO,PM25,PM10,SO2,DoY,DoW,Presion_forecast,Temperatura_forecast,HR_forecast,RapViento_forecast,DoY_forecast,DoW_forecast
2022-05-07,960.4677083333332,11.51561625,83.69726666666666,1.294434375,8.0,0.44916666666666666,30.5,31.875,1.0,127.0,6.0,968.9677499999999,8.487752916666667,66.81455833333332,5.4770125,128.0,7.0
2022-05-08,968.9677499999999,8.487752916666667,66.81455833333332,5.4770125,16.223993692200782,0.27028968890671656,17.041666666666668,18.791666666666668,1.0150545811781249,128.0,7.0,980.4758333333333,6.704934583333333,66.98256666666667,2.5143119166666668,129.0,1.0
2022-05-09,980.4758333333333,6.704934583333333,66.98256666666667,2.5143119166666668,12.083333333333334,0.42874999999999996,26.166666666666668,29.452187779767232,1.0,129.0,1.0,981.4650416666667,7.172984583333334,73.21034166666666,1.2181375416666667,130.0,2.0
2022-05-10,981.4650416666667,7.172984583333334,73.21034166666666,1.2181375416666667,9.375,0.9404166666666667,67.625,70.83333333333333,1.0062499999999999,130.0,2.0,973.8706666666667,2.9490972083333333,82.70392916666667,0.5208767916666667,131.0,3.0
2022-05-11,973.8706666666667,2.9490972083333333,82.70392916666667,0.5208767916666667,1.6666666666666667,1.9158333333333335,123.875,133.58333333333334,1.0058333333333334,131.0,3.0,965.5451666666667,4.760666666666666,87.28011666666667,0.7747449583333333,132.0,4.0
2022-05-12,965.5451666666667,4.760666666666666,87.28011666666667,0.7747449583333333,3.2916666666666665,1.2579166666666668,73.04166666666667,74.625,1.0,132.0,4.0,973.962625,5.089836666666667,75.50664166666667,2.080779,133.0,5.0
2022-05-13,973.962625,5.089836666666667,75.50664166666667,2.080779,10.583333333333334,0.8166666666666668,46.07441315139571,49.708333333333336,1.0,133.0,5.0,982.267625,5.4713013749999995,73.58146666666667,1.3332337916666666,134.0,6.0
2022-05-14,982.267625,5.4713013749999995,73.58146666666667,1.3332337916666666,9.666666666666666,1.27625,87.24107981806237,88.6188544464339,1.0,134.0,6.0,986.4375833333334,1.6523266666666665,81.97195,0.6352797124999999,135.0,7.0
2022-05-15,986.4375833333334,1.6523266666666665,81.97195,0.6352797124999999,2.6666666666666665,3.3845833333333335,242.08333333333334,244.0,1.0466666666666666,135.0,7.0,985.73375,1.6387575125,78.1574125,0.5548140416666666,136.0,1.0
2022-05-16,985.73375,1.6387575125,78.1574125,0.5548140416666666,3.0729873844015607,4.52862302224005,331.5833333333333,339.2083333333333,1.4342212478447915,136.0,1.0,981.6742651933984,1.382891208144162,75.30520278208037,0.6787815981941511,137.0,2.0
2022-05-17,981.6742651933984,1.382891208144162,75.30520278208037,0.6787815981941511,1.75,4.542916666666667,322.0833333333333,331.7083333333333,1.49875,137.0,2.0,974.4034583333333,0.29493311250000004,77.00687916666666,0.5497665833333333,138.0,3.0
2022-05-18,974.4034583333333,0.29493311250000004,77.00687916666666,0.5497665833333333,2.1666666666666665,4.559166666666667,341.2916666666667,352.875,1.7787499999999998,138.0,3.0,969.6615,1.0402304166666667,78.74300000000001,0.48394215,139.0,4.0
2022-05-19,969.6615,1.0402304166666667,78.74300000000001,0.48394215,2.2396540510682272,4.179583333333333,278.9583333333333,294.2083333333333,1.7483333333333333,139.0,4.0,962.5658333333332,5.21152,80.1016,0.9339257375000001,140.0,5.0
2022-05-20,962.5658333333332,5.21152,80.1016,0.9339257375000001,2.7916666666666665,2.6670833333333337,171.75,175.33333333333334,1.5066666666666666,140.0,5.0,964.5835833333334,3.082014875,85.09417916666666,1.2236167666666666,141.0,6.0
2022-05-21,964.5835833333334,3.082014875,85.09417916666666,1.2236167666666666,7.416666666666667,0.9258333333333333,60.625,62.25,1.0004166666666667,141.0,6.0,964.045375,2.2232115,78.7202375,1.3094540833333335,142.0,7.0
2022-05-22,964.045375,2.2232115,78.7202375,1.3094540833333335,13.041666666666666,0.5941666666666666,32.75,33.75,1.0,142.0,7.0,962.2697083333333,1.1888131666666666,84.97427916666668,1.3662787083333334,143.0,1.0
2022-05-23,962.2697083333333,1.1888131666666666,84.97427916666668,1.3662787083333334,13.041666666666666,0.6058333333333333,33.916666666666664,35.125,1.0,143.0,1.0,970.4207083333334,1.2729093929166666,72.64311666666667,1.5212372916666668,144.0,2.0
2022-05-24,970.4207083333334,1.2729093929166666,72.64311666666667,1.5212372916666668,11.166666666666666,0.8316666666666667,49.75,51.083333333333336,1.0,144.0,2.0,982.6272916666667,1.0317705416666667,69.69981666666666,1.3580717916666665,145.0,3.0
2022-05-25,982.6272916666667,1.0317705416666667,69.69981666666666,1.3580717916666665,10.25,0.7716666666666666,52.208333333333336,53.375,1.0,145.0,3.0,980.2607083333334,2.391625416666667,74.5569875,1.4193974166666667,146.0,4.0
2022-05-26,980.2607083333334,2.391625416666667,74.5569875,1.4193974166666667,9.833333333333334,0.7179166666666666,47.416666666666664,48.75,1.0,146.0,4.0,979.0315833333334,2.232469,70.40233333333333,1.4334725,147.0,5.0
2022-05-27,979.0315833333334,2.232469,70.40233333333333,1.4334725,9.416666666666666,0.9020833333333332,61.833333333333336,64.2438544464339,1.0,147.0,5.0,976.4693333333333,2.01406785,71.36946666666667,1.466048,148.0,6.0
2022-05-28,976.4693333333333,2.01406785,71.36946666666667,1.466048,9.34899369220078,1.04612302224005,65.16666666666667,66.66666666666667,1.0150545811781249,148.0,6.0,979.41075,0.843665375,72.91863333333333,1.196694125,149.0,7.0
2022-05-29,979.41075,0.843665375,72.91863333333333,1.196694125,7.5,1.7604166666666667,131.20833333333334,132.33333333333334,1.0,149.0,7.0,982.17625,-1.1898257083333335,80.10195557706852,0.8253693154157867,150.0,1.0
2022-05-30,982.17625,-1.1898257083333335,80.10195557706852,0.8253693154157867,2.9166666666666665,1.7493651112002497,127.0298122417076,128.78552111310057,1.6348562392239574,150.0,1.0,979.8786666666666,-4.03379875,92.47117916666667,0.8329885,151.0,2.0
