FECHA (YYMMDD);HORA (HHMM);;
150919;0100;982;
150919;0200;982;
150919;0300;982;
150919;0400;982;
150919;0500;982;
150919;0600;982;
150919;0700;982;
150919;0800;982;
150919;0900;982;
150919;1000;982;
150919;1100;982;
150919;1200;982;
150919;1300;981;
150919;1400;980;
150919;1500;980;
150919;1600;980;
150919;1700;981;
150919;1800;981;
150919;1900;981;
150919;2000;982;
150919;2100;982;
150919;2200;982;
150919;2300;982;
150920;0000;982;
150920;0100;982;
150920;0200;982;
150920;0300;982;
150920;0400;982;
150920;0500;982;
150920;0600;983;
150920;0700;983;
150920;0800;983;
150920;0900;983;
150920;1000;983;
150920;1100;982;
150920;1200;982;
150920;1300;981;
150920;1400;980;
150920;1500;980;
150920;1600;979;
150920;1700;979;
150920;1800;980;
150920;1900;980;
150920;2000;981;
150920;2100;982;
150920;2200;982;
150920;2300;982;
150921;0000;981;
150921;0100;981;
150921;0200;981;
150921;0300;981;
150921;0400;982;
150921;0500;982;
150921;0600;982;
150921;0700;983;
150921;0800;983;
150921;0900;983;
150921;1000;983;
150921;1100;982;
150921;1200;982;
150921;1300;981;
150921;1400;980;
150921;1500;980;
150921;1600;980;
150921;1700;981;
150921;1800;981;
150921;1900;982;
150921;2000;982;
150921;2100;982;
150921;2200;982;
150921;2300;982;
150922;0000;982;
150922;0100;981;
150922;0200;981;
150922;0300;981;
150922;0400;980;
150922;0500;980;
150922;0600;981;
150922;0700;981;
150922;0800;981;
150922;0900;980;
150922;1000;980;
150922;1100;979;
150922;1200;978;
150922;1300;977;
150922;1400;976;
150922;1500;974;
150922;1600;978;
150922;1700;980;
150922;1800;981;
150922;1900;980;
150922;2000;981;
150922;2100;981;
150922;2200;981;
150922;2300;981;
150923;0000;981;
150923;0100;981;
150923;0200;981;
150923;0300;981;
150923;0400;980;
150923;0500;980;
150923;0600;981;
150923;0700;981;
150923;0800;981;
150923;0900;982;
150923;1000;982;
150923;1100;980;
150923;1200;980;
150923;1300;980;
150923;1400;980;
150923;1500;979;
150923;1600;980;
150923;1700;979;
150923;1800;979;
150923;1900;979;
150923;2000;980;
150923;2100;981;
150923;2200;981;
150923;2300;982;
150924;0000;982;
150924;0100;983;
150924;0200;981;
150924;0300;982;
150924;0400;983;
150924;0500;983;
150924;0600;983;
150924;0700;981;
150924;0800;981;
150924;0900;982;
150924;1000;982;
150924;1100;982;
150924;1200;982;
150924;1300;982;
150924;1400;982;
150924;1500;982;
150924;1600;983;
150924;1700;983;
150924;1800;982;
150924;1900;983;
150924;2000;984;
150924;2100;985;
150924;2200;985;
150924;2300;985;
150925;0000;985;
150925;0100;986;
150925;0200;984;
150925;0300;984;
150925;0400;984;
150925;0500;984;
150925;0600;984;
150925;0700;985;
150925;0800;986;
150925;0900;986;
150925;1000;986;
150925;1100;985;
150925;1200;984;
150925;1300;985;
150925;1400;987;
150925;1500;986;
150925;1600;985;
150925;1700;986;
150925;1800;986;
150925;1900;985;
150925;2000;986;
150925;2100;986;
150925;2200;986;
150925;2300;986;
150926;0000;985;
150926;0100;985;
150926;0200;985;
150926;0300;984;
150926;0400;984;
150926;0500;984;
150926;0600;984;
150926;0700;983;
150926;0800;983;
150926;0900;982;
150926;1000;982;
150926;1100;981;
150926;1200;980;
150926;1300;979;
150926;1400;978;
150926;1500;977;
150926;1600;977;
150926;1700;977;
150926;1800;976;
150926;1900;976;
150926;2000;976;
150926;2100;976;
150926;2200;976;
150926;2300;975;
150927;0000;976;
150927;0100;975;
150927;0200;975;
150927;0300;975;
150927;0400;975;
150927;0500;975;
150927;0600;975;
150927;0700;975;
150927;0800;975;
150927;0900;975;
150927;1000;975;
150927;1100;974;
150927;1200;974;
150927;1300;974;
150927;1400;973;
150927;1500;973;
150927;1600;973;
150927;1700;973;
150927;1800;974;
150927;1900;974;
150927;2000;975;
150927;2100;976;
150927;2200;977;
150927;2300;978;
150928;0000;979;
150928;0100;979;
150928;0200;980;
150928;0300;980;
150928;0400;981;
150928;0500;982;
150928;0600;982;
150928;0700;983;
150928;0800;984;
150928;0900;984;
150928;1000;985;
150928;1100;985;
150928;1200;986;
150928;1300;984;
150928;1400;980;
150928;1500;979;
150928;1600;981;
150928;1700;982;
150928;1800;982;
150928;1900;983;
150928;2000;982;
150928;2100;983;
150928;2200;983;
150928;2300;983;
150929;0000;983;
150929;0100;983;
150929;0200;982;
150929;0300;981;
150929;0400;981;
150929;0500;981;
150929;0600;981;
150929;0700;981;
150929;0800;980;
150929;0900;980;
150929;1000;979;
150929;1100;979;
150929;1200;978;
150929;1300;978;
150929;1400;977;
150929;1500;977;
150929;1600;977;
150929;1700;977;
150929;1800;977;
150929;1900;976;
150929;2000;976;
150929;2100;976;
150929;2200;976;
150929;2300;976;
150930;0000;976;
150930;0100;975;
150930;0200;975;
150930;0300;974;
150930;0400;974;
150930;0500;974;
150930;0600;975;
150930;0700;974;
150930;0800;975;
150930;0900;975;
150930;1000;975;
150930;1100;974;
150930;1200;974;
150930;1300;974;
150930;1400;974;
150930;1500;977;
150930;1600;977;
150930;1700;977;
150930;1800;979;
150930;1900;982;
150930;2000;983;
150930;2100;981;
150930;2200;982;
150930;2300;983;
151001;0000;984;
151001;0100;986;
151001;0200;986;
151001;0300;987;
151001;0400;988;
151001;0500;989;
151001;0600;990;
151001;0700;991;
151001;0800;991;
151001;0900;991;
151001;1000;992;
151001;1100;990;
151001;1200;991;
151001;1300;990;
151001;1400;990;
151001;1500;990;
151001;1600;990;
151001;1700;988;
151001;1800;986;
151001;1900;987;
151001;2000;988;
151001;2100;988;
151001;2200;988;
151001;2300;988;
151002;0000;988;
151002;0100;988;
151002;0200;987;
151002;0300;987;
151002;0400;987;
151002;0500;987;
151002;0600;987;
151002;0700;987;
151002;0800;987;
151002;0900;987;
151002;1000;986;
151002;1100;985;
151002;1200;984;
151002;1300;983;
151002;1400;982;
151002;1500;981;
151002;1600;980;
151002;1700;980;
151002;1800;979;
151002;1900;979;
151002;2000;979;
151002;2100;979;
151002;2200;979;
151002;2300;978;
151003;0000;978;
151003;0100;978;
151003;0200;977;
151003;0300;976;
151003;0400;976;
151003;0500;976;
151003;0600;976;
151003;0700;976;
151003;0800;976;
151003;0900;976;
151003;1000;975;
151003;1100;974;
151003;1200;974;
151003;1300;973;
151003;1400;972;
151003;1500;971;
151003;1600;970;
151003;1700;970;
151003;1800;969;
151003;1900;969;
151003;2000;969;
151003;2100;969;
151003;2200;969;
151003;2300;968;
151004;0000;968;
151004;0100;968;
151004;0200;967;
151004;0300;967;
151004;0400;967;
151004;0500;967;
151004;0600;967;
151004;0700;967;
151004;0800;967;
151004;0900;966;
151004;1000;966;
151004;1100;966;
151004;1200;966;
151004;1300;967;
151004;1400;967;
151004;1500;968;
151004;1600;968;
151004;1700;968;
151004;1800;969;
151004;1900;970;
151004;2000;971;
151004;2100;971;
151004;2200;972;
151004;2300;972;
151005;0000;972;
151005;0100;972;
151005;0200;972;
151005;0300;972;
151005;0400;973;
151005;0500;973;
151005;0600;973;
151005;0700;974;
151005;0800;974;
151005;0900;973;
151005;1000;973;
151005;1100;973;
151005;1200;972;
151005;1300;972;
151005;1400;971;
151005;1500;970;
151005;1600;968;
151005;1700;968;
151005;1800;970;
151005;1900;971;
151005;2000;972;
151005;2100;972;
151005;2200;972;
151005;2300;972;
151006;0000;972;
151006;0100;972;
151006;0200;972;
151006;0300;973;
151006;0400;973;
151006;0500;972;
151006;0600;972;
151006;0700;973;
151006;0800;972;
151006;0900;973;
151006;1000;973;
151006;1100;972;
151006;1200;972;
151006;1300;973;
151006;1400;974;
151006;1500;974;
151006;1600;975;
151006;1700;976;
151006;1800;976;
151006;1900;977;
151006;2000;977;
151006;2100;978;
151006;2200;978;
151006;2300;978;
151007;0000;978;
151007;0100;978;
151007;0200;978;
151007;0300;978;
151007;0400;979;
151007;0500;979;
151007;0600;980;
151007;0700;981;
151007;0800;981;
151007;0900;981;
151007;1000;981;
151007;1100;981;
151007;1200;981;
151007;1300;981;
151007;1400;982;
151007;1500;982;
151007;1600;982;
151007;1700;983;
151007;1800;984;
151007;1900;985;
151007;2000;986;
151007;2100;987;
151007;2200;987;
151007;2300;987;
151008;0000;988;
151008;0100;988;
151008;0200;988;
151008;0300;988;
151008;0400;988;
151008;0500;989;
151008;0600;989;
151008;0700;990;
151008;0800;990;
151008;0900;990;
151008;1000;990;
151008;1100;990;
151008;1200;990;
151008;1300;990;
151008;1400;990;
151008;1500;990;
151008;1600;990;
151008;1700;990;
151008;1800;991;
151008;1900;989;
151008;2000;989;
151008;2100;990;
151008;2200;990;
151008;2300;990;
151009;0000;991;
151009;0100;991;
151009;0200;992;
151009;0300;992;
151009;0400;992;
151009;0500;993;
151009;0600;994;
151009;0700;994;
151009;0800;994;
151009;0900;994;
151009;1000;994;
151009;1100;993;
151009;1200;993;
151009;1300;992;
151009;1400;991;
151009;1500;991;
151009;1600;991;
151009;1700;991;
151009;1800;992;
151009;1900;1005;
151009;2000;1006;
151009;2100;1006;
151009;2200;1005;
151009;2300;1005;
151010;0000;1005;
151010;0100;1006;
151010;0200;1005;
151010;0300;1005;
151010;0400;1005;
151010;0500;1005;
151010;0600;1006;
151010;0700;1006;
151010;0800;1006;
151010;0900;1006;
151010;1000;1005;
151010;1100;1007;
151010;1200;1007;
151010;1300;1006;
151010;1400;1004;
151010;1500;1003;
151010;1600;1005;
151010;1700;1008;
151010;1800;1005;
151010;1900;1006;
151010;2000;1004;
151010;2100;1006;
151010;2200;1008;
151010;2300;1005;
151011;0000;1007;
151011;0100;1006;
151011;0200;1005;
151011;0300;1006;
151011;0400;1006;
151011;0500;1006;
151011;0600;1007;
151011;0700;1002;
151011;0800;1002;
151011;0900;1006;
151011;1000;1008;
151011;1100;998;
151011;1200;1001;
151011;1300;998;
151011;1400;994;
151011;1500;996;
151011;1600;994;
151011;1700;991;
151011;1800;989;
151011;1900;988;
151011;2000;989;
151011;2100;990;
151011;2200;990;
151011;2300;989;
151012;0000;988;
151012;0100;987;
151012;0200;986;
151012;0300;986;
151012;0400;985;
151012;0500;984;
151012;0600;983;
151012;0700;983;
151012;0800;983;
151012;0900;982;
151012;1000;981;
151012;1100;981;
151012;1200;980;
151012;1300;979;
151012;1400;978;
151012;1500;978;
151012;1600;977;
151012;1700;978;
151012;1800;977;
151012;1900;977;
151012;2000;977;
151012;2100;977;
151012;2200;976;
151012;2300;976;
151013;0000;976;
151013;0100;975;
151013;0200;974;
151013;0300;974;
151013;0400;973;
151013;0500;974;
151013;0600;974;
151013;0700;975;
151013;0800;978;
151013;0900;978;
151013;1000;978;
151013;1100;974;
151013;1200;968;
151013;1300;967;
151013;1400;966;
151013;1500;963;
151013;1600;964;
151013;1700;964;
151013;1800;964;
151013;1900;965;
151013;2000;965;
151013;2100;965;
151013;2200;966;
151013;2300;966;
151014;0000;966;
151014;0100;967;
151014;0200;967;
151014;0300;968;
151014;0400;968;
151014;0500;969;
151014;0600;970;
151014;0700;970;
151014;0800;971;
151014;0900;971;
151014;1000;972;
151014;1100;972;
151014;1200;972;
151014;1300;972;
151014;1400;972;
151014;1500;973;
151014;1600;973;
151014;1700;974;
151014;1800;976;
151014;1900;977;
151014;2000;978;
151014;2100;979;
151014;2200;979;
151014;2300;980;
151015;0000;980;
151015;0100;981;
151015;0200;981;
151015;0300;981;
151015;0400;981;
151015;0500;982;
151015;0600;983;
151015;0700;983;
151015;0800;984;
151015;0900;984;
151015;1000;984;
151015;1100;984;
151015;1200;985;
151015;1300;985;
151015;1400;985;
151015;1500;985;
151015;1600;986;
151015;1700;986;
151015;1800;987;
151015;1900;988;
151015;2000;989;
151015;2100;989;
151015;2200;989;
151015;2300;989;
151016;0000;990;
151016;0100;990;
151016;0200;990;
151016;0300;990;
151016;0400;990;
151016;0500;990;
151016;0600;990;
151016;0700;990;
151016;0800;990;
151016;0900;990;
151016;1000;989;
151016;1100;989;
151016;1200;989;
151016;1300;989;
151016;1400;988;
