FECHA (YYMMDD);HORA (HHMM);;
131016;0900;14,3208;
131016;1000;15,4786;
131016;1100;16,025;
131016;1200;17,8266;
131016;1300;18,0261;
131016;1400;17,9654;
131016;1500;17,9875;
131016;1600;17,8099;
131016;1700;;
131016;1800;;
131016;1900;;
131016;2000;;
131016;2100;;
131016;2200;;
131016;2300;;
131017;0000;;
131017;0100;;
131017;0200;;
131017;0300;;
131017;0400;;
131017;0500;;
131017;0600;;
131017;0700;;
131017;0800;;
131017;0900;;
131017;1000;;
131017;1100;;
131017;1200;;
131017;1300;;
131017;1400;;
131017;1500;;
131017;1600;;
131017;1700;;
131017;1800;;
131017;1900;;
131017;2000;;
131017;2100;;
131017;2200;;
131017;2300;;
131018;0000;;
131018;0100;;
131018;0200;;
131018;0300;;
131018;0400;;
131018;0500;;
131018;0600;;
131018;0700;;
131018;0800;;
131018;0900;;
131018;1000;;
131018;1100;;
131018;1200;;
131018;1300;;
131018;1400;;
131018;1500;;
131018;1600;;
131018;1700;;
131018;1800;;
131018;1900;;
131018;2000;;
131018;2100;;
131018;2200;;
131018;2300;;
131019;0000;;
131019;0100;;
131019;0200;;
131019;0300;;
131019;0400;;
131019;0500;;
131019;0600;;
131019;0700;;
131019;0800;;
131019;0900;;
131019;1000;;
131019;1100;;
131019;1200;;
131019;1300;;
131019;1400;;
131019;1500;;
131019;1600;;
131019;1700;;
131019;1800;;
131019;1900;;
131019;2000;;
131019;2100;;
131019;2200;;
131019;2300;;
131020;0000;;
131020;0100;;
131020;0200;;
131020;0300;;
131020;0400;;
131020;0500;;
131020;0600;;
131020;0700;;
131020;0800;;
131020;0900;;
131020;1000;;
131020;1100;;
131020;1200;;
131020;1300;;
131020;1400;;
131020;1500;;
131020;1600;;
131020;1700;;
131020;1800;;
131020;1900;;
131020;2000;;
131020;2100;;
131020;2200;;
131020;2300;;
131021;0000;;
131021;0100;;
131021;0200;;
131021;0300;;
131021;0400;;
131021;0500;;
131021;0600;;
131021;0700;;
131021;0800;;
131021;0900;;
131021;1000;;
131021;1100;;
131021;1200;;
131021;1300;;
131021;1400;;
131021;1500;;
131021;1600;;
131021;1700;;
131021;1800;;
131021;1900;;
131021;2000;;
131021;2100;;
131021;2200;;
131021;2300;;
131022;0000;;
131022;0100;;
131022;0200;;
131022;0300;;
131022;0400;;
131022;0500;;
131022;0600;;
131022;0700;;
131022;0800;;
131022;0900;;
131022;1000;;
131022;1100;;
131022;1200;;
131022;1300;;
131022;1400;;
131022;1500;;
131022;1600;;
131022;1700;;
131022;1800;;
131022;1900;;
131022;2000;;
131022;2100;;
131022;2200;;
131022;2300;;
131023;0000;;
131023;0100;;
131023;0200;;
131023;0300;;
131023;0400;;
131023;0500;;
131023;0600;;
131023;0700;;
131023;0800;;
131023;0900;;
131023;1000;;
131023;1100;;
131023;1200;;
131023;1300;;
131023;1400;;
131023;1500;;
131023;1600;;
131023;1700;;
131023;1800;;
131023;1900;;
131023;2000;;
131023;2100;;
131023;2200;;
131023;2300;;
131024;0000;;
131024;0100;;
131024;0200;;
131024;0300;;
131024;0400;;
131024;0500;;
131024;0600;;
131024;0700;;
131024;0800;;
131024;0900;;
131024;1000;;
131024;1100;;
131024;1200;;
131024;1300;;
131024;1400;;
131024;1500;;
131024;1600;;
131024;1700;;
131024;1800;;
131024;1900;;
131024;2000;;
131024;2100;;
131024;2200;;
131024;2300;;
131025;0000;;
131025;0100;;
131025;0200;;
131025;0300;;
131025;0400;;
131025;0500;;
131025;0600;;
131025;0700;;
131025;0800;;
131025;0900;;
131025;1000;;
131025;1100;;
131025;1200;;
131025;1300;;
131025;1400;;
131025;1500;;
131025;1600;;
131025;1700;;
131025;1800;;
131025;1900;;
131025;2000;;
131025;2100;;
131025;2200;;
131025;2300;;
131026;0000;;
131026;0100;;
131026;0200;;
131026;0300;;
131026;0400;;
131026;0500;;
131026;0600;;
131026;0700;;
131026;0800;;
131026;0900;;
131026;1000;;
131026;1100;;
131026;1200;;
131026;1300;;
131026;1400;;
131026;1500;;
131026;1600;;
131026;1700;;
131026;1800;;
131026;1900;;
131026;2000;;
131026;2100;;
131026;2200;;
131026;2300;;
131027;0000;;
131027;0100;;
131027;0200;;
131027;0300;;
131027;0400;;
131027;0500;;
131027;0600;;
131027;0700;;
131027;0800;;
131027;0900;;
131027;1000;;
131027;1100;;
131027;1200;;
131027;1300;;
131027;1400;;
131027;1500;;
131027;1600;;
131027;1700;;
131027;1800;;
131027;1900;;
131027;2000;;
131027;2100;;
131027;2200;;
131027;2300;;
131028;0000;;
131028;0100;;
131028;0200;;
131028;0300;;
131028;0400;;
131028;0500;;
131028;0600;;
131028;0700;;
131028;0800;;
131028;0900;;
131028;1000;;
131028;1100;;
131028;1200;;
131028;1300;;
131028;1400;;
131028;1500;;
131028;1600;;
131028;1700;;
131028;1800;;
131028;1900;;
