FECHA (YYMMDD);HORA (HHMM);;
131024;1700;;
131024;1800;;
131024;1900;;
131024;2000;;
131024;2100;;
131024;2200;;
131024;2300;;
131025;0000;;
131025;0100;;
131025;0200;;
131025;0300;;
131025;0400;;
131025;0500;;
131025;0600;;
131025;0700;;
131025;0800;;
131025;0900;;
131025;1000;;
131025;1100;;
131025;1200;;
131025;1300;;
131025;1400;;
131025;1500;;
131025;1600;;
131025;1700;;
131025;1800;;
131025;1900;;
131025;2000;;
131025;2100;;
131025;2200;;
131025;2300;;
131026;0000;;
131026;0100;;
131026;0200;;
131026;0300;;
131026;0400;;
131026;0500;;
131026;0600;;
131026;0700;;
131026;0800;;
131026;0900;;
131026;1000;;
131026;1100;;
131026;1200;;
131026;1300;;
131026;1400;;
131026;1500;;
131026;1600;;
131026;1700;;
131026;1800;;
131026;1900;;
131026;2000;;
131026;2100;;
131026;2200;;
131026;2300;;
131027;0000;;
131027;0100;;
131027;0200;;
131027;0300;;
131027;0400;;
131027;0500;;
131027;0600;;
131027;0700;;
131027;0800;;
131027;0900;;
131027;1000;;
131027;1100;;
131027;1200;;
131027;1300;;
131027;1400;;
131027;1500;;
131027;1600;;
131027;1700;;
131027;1800;;
131027;1900;;
131027;2000;;
131027;2100;;
131027;2200;;
131027;2300;;
131028;0000;;
131028;0100;;
131028;0200;;
131028;0300;;
131028;0400;;
131028;0500;;
131028;0600;;
131028;0700;;
131028;0800;;
131028;0900;;
131028;1000;;
131028;1100;;
131028;1200;;
131028;1300;;
131028;1400;;
131028;1500;;
131028;1600;;
131028;1700;;
131028;1800;;
131028;1900;;
131028;2000;;
131028;2100;;
131028;2200;;
131028;2300;;
131029;0000;;
131029;0100;;
131029;0200;;
131029;0300;;
131029;0400;;
131029;0500;;
131029;0600;;
131029;0700;;
131029;0800;;
131029;0900;;
131029;1000;;
131029;1100;;
131029;1200;;
131029;1300;;
131029;1400;;
131029;1500;;
131029;1600;;
131029;1700;;
131029;1800;;
131029;1900;;
131029;2000;;
131029;2100;;
131029;2200;;
131029;2300;;
131030;0000;;
131030;0100;;
131030;0200;;
131030;0300;;
131030;0400;;
131030;0500;;
131030;0600;;
131030;0700;;
131030;0800;;
131030;0900;;
131030;1000;;
131030;1100;;
131030;1200;;
131030;1300;;
131030;1400;;
131030;1500;;
131030;1600;;
131030;1700;;
131030;1800;;
131030;1900;;
131030;2000;;
131030;2100;;
131030;2200;;
131030;2300;;
131031;0000;;
131031;0100;;
131031;0200;;
131031;0300;;
131031;0400;;
131031;0500;;
131031;0600;;
131031;0700;;
131031;0800;;
131031;0900;;
131031;1000;;
131031;1100;;
131031;1200;;
131031;1300;;
131031;1400;;
131031;1500;;
131031;1600;;
131031;1700;;
131031;1800;;
131031;1900;;
131031;2000;;
131031;2100;;
131031;2200;;
131031;2300;;
131101;0000;;
131101;0100;;
131101;0200;;
131101;0300;;
131101;0400;;
131101;0500;;
131101;0600;;
131101;0700;;
131101;0800;;
131101;0900;;
131101;1000;;
131101;1100;;
131101;1200;;
131101;1300;;
131101;1400;;
131101;1500;;
131101;1600;;
131101;1700;;
131101;1800;;
131101;1900;;
131101;2000;;
131101;2100;;
131101;2200;;
131101;2300;;
131102;0000;;
131102;0100;;
131102;0200;;
131102;0300;;
131102;0400;;
131102;0500;;
131102;0600;;
131102;0700;;
131102;0800;;
131102;0900;;
131102;1000;;
131102;1100;;
131102;1200;;
131102;1300;;
131102;1400;;
131102;1500;;
131102;1600;;
131102;1700;;
131102;1800;;
131102;1900;;
