FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130916;1200;0,1;;;
130916;1300;0,1;;;
130916;1400;0,1;;;
130916;1500;0,1;;;
130916;1600;0,1;;;
130916;1700;0,1;;;
130916;1800;0,1;;;
130916;1900;0,300001;;;
130916;2000;0,900002;;;
130916;2100;1;;;
130916;2200;0,500002;;;
130916;2300;0,300001;;;
130917;0000;0,1;;;
130917;0100;0,1;;;
130917;0200;0,1;;;
130917;0300;0,1;;;
130917;0400;0,1;;;
130917;0500;0,1;;;
130917;0600;0,1;;;
130917;0700;0,1;;;
130917;0800;0,1;;;
130917;0900;0,1;;;
130917;1000;0,1;;;
130917;1100;0,1;;;
130917;1200;0,1;;;
130917;1300;0,1;;;
130917;1400;0,1;;;
130917;1500;0,1;;;
130917;1600;0,1;;;
130917;1700;0,1;;;
130917;1800;0,1;;;
130917;1900;0,1;;;
130917;2000;0,1;;;
130917;2100;0,1;;;
130917;2200;0,200001;;;
130917;2300;2,30001;;;
130918;0000;2,40001;;;
130918;0100;0,1;;;
130918;0200;0,1;;;
130918;0300;0,1;;;
130918;0400;0,1;;;
130918;0500;0,1;;;
130918;0600;0,1;;;
130918;0700;0,1;;;
130918;0800;0,1;;;
130918;0900;0,1;;;
130918;1000;0,1;;;
130918;1100;0,1;;;
130918;1200;0,1;;;
130918;1300;0,1;;;
130918;1400;0,1;;;
130918;1500;0,1;;;
130918;1600;0,1;;;
130918;1700;0,1;;;
130918;1800;0,1;;;
130918;1900;0,1;;;
130918;2000;0,1;;;
130918;2100;0,1;;;
130918;2200;0,1;;;
130918;2300;0,1;;;
130919;0000;0,1;;;
130919;0100;0,1;;;
130919;0200;0,1;;;
130919;0300;0,1;;;
130919;0400;0,1;;;
130919;0500;0,1;;;
130919;0600;0,1;;;
130919;0700;0,1;;;
130919;0800;0,1;;;
130919;0900;0,1;;;
130919;1000;0,1;;;
130919;1100;0,1;;;
130919;1200;0,1;;;
130919;1300;0,1;;;
130919;1400;0,1;;;
130919;1500;0,1;;;
130919;1600;0,1;;;
130919;1700;0,1;;;
130919;1800;0,1;;;
130919;1900;0,1;;;
130919;2000;0,1;;;
130919;2100;0,1;;;
130919;2200;0,1;;;
130919;2300;0,700002;;;
130920;0000;0,600001;;;
130920;0100;0,1;;;
130920;0200;0,1;;;
130920;0300;0,1;;;
130920;0400;0,1;;;
130920;0500;0,1;;;
130920;0600;0,1;;;
130920;0700;0,1;;;
130920;0800;0,1;;;
130920;0900;0,1;;;
130920;1000;0,1;;;
130920;1100;0,1;;;
130920;1200;0,1;;;
130920;1300;0,1;;;
130920;1400;0,1;;;
130920;1500;0,1;;;
130920;1600;0,1;;;
130920;1700;0,1;;;
130920;1800;0,1;;;
130920;1900;0,1;;;
130920;2000;0,1;;;
130920;2100;0,700002;;;
130920;2200;0,1;;;
130920;2300;0,200001;;;
130921;0000;0,1;;;
130921;0100;0,1;;;
130921;0200;0,1;;;
130921;0300;0,1;;;
130921;0400;0,400001;;;
130921;0500;0,200001;;;
130921;0600;0,1;;;
130921;0700;0,1;;;
130921;0800;0,1;;;
130921;0900;0,1;;;
130921;1000;0,1;;;
130921;1100;0,1;;;
130921;1200;0,1;;;
130921;1300;0,1;;;
130921;1400;0,1;;;
130921;1500;0,1;;;
130921;1600;0,1;;;
130921;1700;0,1;;;
130921;1800;0,1;;;
130921;1900;0,400001;;;
130921;2000;0,800001;;;
130921;2100;1,9;;;
130921;2200;1,7;;;
130921;2300;1,3;;;
130922;0000;2,80001;;;
130922;0100;2,20001;;;
130922;0200;1,7;;;
130922;0300;0,300001;;;
130922;0400;2,10001;;;
130922;0500;0,700002;;;
130922;0600;0,300001;;;
130922;0700;0,1;;;
130922;0800;0,1;;;
130922;0900;0,1;;;
130922;1000;0,1;;;
130922;1100;0,1;;;
130922;1200;0,1;;;
130922;1300;0,1;;;
130922;1400;0,1;;;
130922;1500;0,1;;;
130922;1600;0,1;;;
130922;1700;0,1;;;
130922;1800;0,400001;;;
130922;1900;0,700002;;;
130922;2000;0,500002;;;
130922;2100;0,900002;;;
130922;2200;3,10001;;;
130922;2300;1;;;
130923;0000;2,30001;;;
130923;0100;1,7;;;
130923;0200;0,800001;;;
130923;0300;0,1;;;
130923;0400;0,1;;;
130923;0500;0,300001;;;
130923;0600;1,1;;;
130923;0700;0,200001;;;
130923;0800;0,1;;;
130923;0900;0,1;;;
130923;1000;0,1;;;
130923;1100;0,1;;;
130923;1200;0,1;;;
130923;1300;0,1;;;
130923;1400;0,1;;;
130923;1500;0,1;;;
130923;1600;0,1;;;
130923;1700;0,1;;;
130923;1800;0,1;;;
130923;1900;0,1;;;
130923;2000;0,300001;;;
130923;2100;1,7;;;
130923;2200;3,90001;;;
130923;2300;1,8;;;
130924;0000;3,00001;;;
130924;0100;1,2;;;
130924;0200;2,70001;;;
130924;0300;2,00001;;;
130924;0400;0,800001;;;
130924;0500;1,3;;;
