FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130915;1600;28,6001;;;
130915;1700;24,8;;;
130915;1800;22,3;;;
130915;1900;20,7001;;;
130915;2000;20,5001;;;
130915;2100;23,9001;;;
130915;2200;25,5001;;;
130915;2300;28,9001;;;
130916;0000;33,8001;;;
130916;0100;36,6001;;;
130916;0200;39,4001;;;
130916;0300;41,1001;;;
130916;0400;40,8001;;;
130916;0500;38,2001;;;
130916;0600;34,8001;;;
130916;0700;33,5001;;;
130916;0800;35,0001;;;
130916;0900;36,6001;;;
130916;1000;33,9001;;;
130916;1100;33,1001;;;
130916;1200;35,4001;;;
130916;1300;34,6001;;;
130916;1400;23,9001;;;
130916;1500;16,9001;;;
130916;1600;12,4;;;
130916;1700;7,80002;;;
130916;1800;9,40002;;;
130916;1900;13,7;;;
130916;2000;15,2;;;
130916;2100;14,6;;;
130916;2200;13;;;
130916;2300;11,7;;;
130917;0000;10,8;;;
130917;0100;9,90002;;;
130917;0200;9,40002;;;
130917;0300;12,1;;;
130917;0400;14,7;;;
130917;0500;16,4001;;;
130917;0600;17,2001;;;
130917;0700;17,8;;;
130917;0800;19,0001;;;
130917;0900;21,1001;;;
130917;1000;21,6001;;;
130917;1100;22,4001;;;
130917;1200;21,0001;;;
130917;1300;18,8;;;
130917;1400;20,2001;;;
130917;1500;21,2001;;;
130917;1600;21,6001;;;
130917;1700;21,7001;;;
130917;1800;22,6001;;;
130917;1900;23,1001;;;
130917;2000;23,1001;;;
130917;2100;22,3;;;
130917;2200;21,5001;;;
130917;2300;20,6001;;;
130918;0000;20,0001;;;
130918;0100;21,0001;;;
130918;0200;20,6001;;;
130918;0300;18,1001;;;
130918;0400;16,9001;;;
130918;0500;16,2001;;;
130918;0600;15,1;;;
130918;0700;14,1;;;
130918;0800;13,6;;;
130918;0900;14;;;
130918;1000;15,7;;;
130918;1100;17,0001;;;
130918;1200;18,5001;;;
130918;1300;19,8;;;
130918;1400;19,6001;;;
130918;1500;20,3;;;
130918;1600;21,3;;;
130918;1700;21,3;;;
130918;1800;21,2001;;;
130918;1900;21,1001;;;
130918;2000;20,6001;;;
130918;2100;19,7001;;;
130918;2200;19,4001;;;
130918;2300;18,5001;;;
130919;0000;8,80002;;;
130919;0100;1;;;
130919;0200;1;;;
130919;0300;1;;;
130919;0400;1;;;
130919;0500;1;;;
130919;0600;1;;;
130919;0700;1;;;
130919;0800;1;;;
130919;0900;1;;;
130919;1000;1;;;
130919;1100;1;;;
130919;1200;1;;;
130919;1300;1;;;
130919;1400;1;;;
130919;1500;1;;;
130919;1600;1;;;
130919;1700;1;;;
130919;1800;1;;;
130919;1900;1;;;
130919;2000;1;;;
130919;2100;1;;;
130919;2200;1;;;
130919;2300;1;;;
130920;0000;1;;;
130920;0100;1;;;
130920;0200;1;;;
130920;0300;1;;;
130920;0400;1;;;
130920;0500;1;;;
130920;0600;1;;;
130920;0700;1;;;
130920;0800;1;;;
130920;0900;1;;;
130920;1000;1;;;
130920;1100;1;;;
130920;1200;1;;;
130920;1300;1;;;
130920;1400;1;;;
130920;1500;1;;;
130920;1600;1;;;
130920;1700;1;;;
130920;1800;1;;;
130920;1900;1;;;
130920;2000;1;;;
130920;2100;1;;;
130920;2200;1;;;
130920;2300;1;;;
130921;0000;1;;;
130921;0100;1;;;
130921;0200;1;;;
130921;0300;1;;;
130921;0400;1;;;
130921;0500;1;;;
130921;0600;1;;;
130921;0700;1;;;
130921;0800;1;;;
130921;0900;1;;;
130921;1000;1;;;
130921;1100;1;;;
130921;1200;1;;;
130921;1300;1;;;
130921;1400;1;;;
130921;1500;1;;;
130921;1600;1;;;
130921;1700;1;;;
130921;1800;1;;;
130921;1900;1;;;
130921;2000;1;;;
130921;2100;1;;;
130921;2200;1;;;
130921;2300;1;;;
130922;0000;1;;;
130922;0100;1;;;
130922;0200;1;;;
130922;0300;1;;;
130922;0400;1;;;
130922;0500;1;;;
130922;0600;1;;;
130922;0700;1;;;
130922;0800;1;;;
130922;0900;1;;;
130922;1000;1;;;
130922;1100;1;;;
130922;1200;1;;;
130922;1300;1;;;
130922;1400;1;;;
130922;1500;1;;;
130922;1600;1;;;
130922;1700;1;;;
130922;1800;1;;;
130922;1900;1;;;
130922;2000;1;;;
130922;2100;1;;;
130922;2200;1;;;
130922;2300;1;;;
130923;0000;1;;;
130923;0100;1;;;
130923;0200;1;;;
130923;0300;1;;;
130923;0400;1;;;
130923;0500;1;;;
130923;0600;1;;;
130923;0700;1;;;
130923;0800;5,10001;;;
130923;0900;4,10001;;;
130923;1000;1;;;
130923;1100;1,6;;;
130923;1200;1,6;;;
130923;1300;1;;;
130923;1400;1;;;
130923;1500;1;;;
130923;1600;1;;;
130923;1700;1;;;
130923;1800;1;;;
130923;1900;1;;;
130923;2000;1;;;
130923;2100;1;;;
130923;2200;1;;;
130923;2300;1;;;
130924;0000;1;;;
130924;0100;1;;;
130924;0200;1;;;
130924;0300;1;;;
130924;0400;1;;;
130924;0500;1;;;
130924;0600;1;;;
130924;0700;3,40001;;;
130924;0800;10,5;;;
130924;0900;13,8;;;
130924;1000;9,40002;;;
130924;1100;9,30002;;;
130924;1200;8,90002;;;
130924;1300;6,60001;;;
130924;1400;4,10001;;;
130924;1500;1;;;
130924;1600;1;;;
130924;1700;1;;;
130924;1800;1;;;
130924;1900;1;;;
130924;2000;3,90001;;;
130924;2100;11;;;
130924;2200;16,1001;;;
130924;2300;14,5;;;
130925;0000;11,6;;;
130925;0100;9,10002;;;
130925;0200;6,60001;;;
130925;0300;4,80002;;;
130925;0400;5,20001;;;
130925;0500;5,80002;;;
130925;0600;6,70001;;;
130925;0700;8,40002;;;
130925;0800;14,1;;;
130925;0900;18,1001;;;
130925;1000;15;;;
130925;1100;14,6;;;
130925;1200;15;;;
130925;1300;5,10001;;;
130925;1400;1;;;
130925;1500;1;;;
130925;1600;1;;;
130925;1700;1;;;
130925;1800;1;;;
130925;1900;4,40001;;;
130925;2000;7,70001;;;
130925;2100;8,60002;;;
130925;2200;7,00002;;;
130925;2300;4,80002;;;
130926;0000;2,60001;;;
130926;0100;1,1;;;
130926;0200;1;;;
130926;0300;3,30001;;;
130926;0400;5,10001;;;
130926;0500;6,50002;;;
130926;0600;7,90001;;;
130926;0700;9,70003;;;
130926;0800;14,1;;;
130926;0900;17,1001;;;
130926;1000;15,9;;;
130926;1100;15,4;;;
130926;1200;17,2001;;;
130926;1300;18,3;;;
130926;1400;17,5001;;;
130926;1500;15,1;;;
130926;1600;11,6;;;
130926;1700;9,60002;;;
130926;1800;12;;;
130926;1900;14,1;;;
130926;2000;15,8;;;
130926;2100;17,5001;;;
130926;2200;23,5001;;;
130926;2300;26,4001;;;
130927;0000;23,5001;;;
130927;0100;23,3;;;
130927;0200;23,4001;;;
130927;0300;22,8;;;
130927;0400;20,1001;;;
130927;0500;16,9001;;;
130927;0600;15,6;;;
130927;0700;16,7001;;;
130927;0800;22,9001;;;
130927;0900;25,2001;;;
130927;1000;20,8;;;
130927;1100;21,0001;;;
130927;1200;23,3;;;
130927;1300;22,4001;;;
130927;1400;18,5001;;;
130927;1500;15;;;
130927;1600;12,6;;;
130927;1700;10,7;;;
130927;1800;9,30002;;;
130927;1900;8,10002;;;
130927;2000;7,60001;;;
130927;2100;8,00003;;;
130927;2200;7,20001;;;
130927;2300;9,50003;;;
130928;0000;14,8;;;
130928;0100;16,7001;;;
130928;0200;20,1001;;;
130928;0300;22,6001;;;
130928;0400;24,5001;;;
130928;0500;27,4001;;;
130928;0600;28,0001;;;
130928;0700;26,5001;;;
130928;0800;26,7001;;;
130928;0900;29,7001;;;
130928;1000;27,9001;;;
130928;1100;26,7001;;;
130928;1200;27,3;;;
130928;1300;24,3;;;
130928;1400;21,4001;;;
130928;1500;18,8;;;
130928;1600;16,6001;;;
130928;1700;16,1001;;;
130928;1800;14,4;;;
130928;1900;13,2;;;
130928;2000;13,1;;;
130928;2100;12,2;;;
130928;2200;10,8;;;
130928;2300;8,20003;;;
130929;0000;5,40001;;;
130929;0100;3,20001;;;
130929;0200;1,5;;;
130929;0300;1;;;
130929;0400;2,50001;;;
130929;0500;4,20001;;;
130929;0600;5,20001;;;
130929;0700;6,60001;;;
130929;0800;8,80002;;;
130929;0900;12,6;;;
130929;1000;15,7;;;
130929;1100;16,1001;;;
130929;1200;17,4001;;;
130929;1300;19,1001;;;
130929;1400;19,5001;;;
130929;1500;19,0001;;;
130929;1600;18,1001;;;
130929;1700;17,1001;;;
130929;1800;16,0001;;;
130929;1900;14,7;;;
130929;2000;14;;;
130929;2100;14,7;;;
130929;2200;16,6001;;;
130929;2300;18,6001;;;
130930;0000;19,8;;;
130930;0100;20,6001;;;
130930;0200;20,5001;;;
130930;0300;18,1001;;;
130930;0400;16,3;;;
130930;0500;15,5;;;
130930;0600;14,9;;;
130930;0700;15,5;;;
130930;0800;21,5001;;;
130930;0900;24,9001;;;
130930;1000;24,1001;;;
130930;1100;24,2001;;;
130930;1200;25,2001;;;
130930;1300;24,3;;;
130930;1400;20,6001;;;
130930;1500;17,4001;;;
130930;1600;15,9;;;
130930;1700;8,80002;;;
130930;1800;7,00002;;;
130930;1900;10,3;;;
130930;2000;15,5;;;
130930;2100;17,1001;;;
130930;2200;15;;;
130930;2300;14,2;;;
131001;0000;11,9;;;
131001;0100;10,1;;;
131001;0200;8,00003;;;
131001;0300;6,10001;;;
131001;0400;3,80001;;;
131001;0500;2,20001;;;
131001;0600;1,6;;;
131001;0700;1,1;;;
131001;0800;1,4;;;
131001;0900;1,7;;;
131001;1000;1,7;;;
131001;1100;1,7;;;
131001;1200;2,00001;;;
131001;1300;3,20001;;;
131001;1400;4,40001;;;
131001;1500;4,40001;;;
131001;1600;;;;
131001;1700;1;;;
131001;1800;1;;;
131001;1900;1;;;
131001;2000;1;;;
131001;2100;1;;;
131001;2200;1;;;
131001;2300;1;;;
131002;0000;1;;;
131002;0100;1;;;
131002;0200;1;;;
131002;0300;1;;;
131002;0400;1;;;
131002;0500;1;;;
131002;0600;1;;;
131002;0700;1;;;
131002;0800;1,5;;;
131002;0900;2,90001;;;
131002;1000;2,80001;;;
131002;1100;2,10001;;;
131002;1200;2,70001;;;
131002;1300;3,20001;;;
131002;1400;1,7;;;
131002;1500;1;;;
131002;1600;1;;;
131002;1700;1;;;
131002;1800;1;;;
131002;1900;1;;;
131002;2000;1;;;
131002;2100;1;;;
131002;2200;1;;;
131002;2300;1;;;
131003;0000;1,2;;;
131003;0100;2,00001;;;
131003;0200;3,10001;;;
131003;0300;3,70001;;;
131003;0400;4,10001;;;
131003;0500;3,80001;;;
131003;0600;3,80001;;;
131003;0700;4,80002;;;
131003;0800;8,40002;;;
131003;0900;7,90001;;;
131003;1000;5,40001;;;
131003;1100;5,30002;;;
131003;1200;7,30002;;;
131003;1300;5,70001;;;
131003;1400;1;;;
131003;1500;1;;;
131003;1600;1;;;
131003;1700;1;;;
131003;1800;1;;;
131003;1900;1;;;
131003;2000;1;;;
131003;2100;1;;;
131003;2200;1;;;
131003;2300;1;;;
131004;0000;1;;;
131004;0100;1;;;
131004;0200;1;;;
131004;0300;1;;;
131004;0400;1;;;
131004;0500;1;;;
131004;0600;1;;;
131004;0700;1;;;
131004;0800;1;;;
131004;0900;1;;;
131004;1000;1;;;
131004;1100;1;;;
131004;1200;1;;;
131004;1300;1;;;
131004;1400;1;;;
131004;1500;1;;;
131004;1600;1;;;
131004;1700;1;;;
131004;1800;1;;;
131004;1900;1;;;
131004;2000;1;;;
131004;2100;1;;;
131004;2200;1;;;
131004;2300;1;;;
131005;0000;1;;;
131005;0100;1;;;
131005;0200;1;;;
131005;0300;1;;;
