FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130927;0700;194;;;
130927;0800;92;;;
130927;0900;118;;;
130927;1000;55;;;
130927;1100;47;;;
130927;1200;44;;;
130927;1300;34;;;
130927;1400;29;;;
130927;1500;32;;;
130927;1600;30;;;
130927;1700;60;;;
130927;1800;112;;;
130927;1900;118;;;
130927;2000;146;;;
130927;2100;413;;;
130927;2200;472;;;
130927;2300;450;;;
130928;0000;374;;;
130928;0100;108;;;
130928;0200;101;;;
130928;0300;183;;;
130928;0400;141;;;
130928;0500;118;;;
130928;0600;193;;;
130928;0700;253;;;
130928;0800;165;;;
130928;0900;177;;;
130928;1000;123;;;
130928;1100;38;;;
130928;1200;27;;;
130928;1300;26;;;
130928;1400;44;;;
130928;1500;48;;;
130928;1600;65;;;
130928;1700;103;;;
130928;1800;191;;;
130928;1900;180;;;
130928;2000;125;;;
130928;2100;71;;;
130928;2200;51;;;
130928;2300;45;;;
130929;0000;31;;;
130929;0100;34;;;
130929;0200;44;;;
130929;0300;94;;;
130929;0400;50;;;
130929;0500;36;;;
130929;0600;91;;;
130929;0700;148;;;
130929;0800;129;;;
130929;0900;36;;;
130929;1000;34;;;
130929;1100;23;;;
130929;1200;21;;;
130929;1300;24;;;
130929;1400;21;;;
130929;1500;30;;;
130929;1600;28;;;
130929;1700;33;;;
130929;1800;106;;;
130929;1900;177;;;
130929;2000;199;;;
130929;2100;236;;;
130929;2200;240;;;
130929;2300;339;;;
130930;0000;332;;;
130930;0100;128;;;
130930;0200;73;;;
130930;0300;114;;;
130930;0400;86;;;
130930;0500;87;;;
130930;0600;221;;;
130930;0700;184;;;
130930;0800;164;;;
130930;0900;104;;;
130930;1000;62;;;
130930;1100;61;;;
130930;1200;64;;;
130930;1300;63;;;
130930;1400;69;;;
130930;1500;71;;;
130930;1600;77;;;
130930;1700;160;;;
130930;1800;269;;;
130930;1900;215;;;
130930;2000;74;;;
130930;2100;63;;;
130930;2200;35;;;
130930;2300;45;;;
131001;0000;86;;;
131001;0100;111;;;
131001;0200;35;;;
131001;0300;40;;;
131001;0400;22;;;
131001;0500;25;;;
131001;0600;48;;;
131001;0700;40;;;
131001;0800;40;;;
131001;0900;44;;;
131001;1000;44;;;
131001;1100;43;;;
131001;1200;33;;;
131001;1300;31;;;
131001;1400;39;;;
131001;1500;35;;;
131001;1600;56;;;
131001;1700;49;;;
131001;1800;79;;;
131001;1900;93;;;
131001;2000;132;;;
131001;2100;146;;;
131001;2200;138;;;
131001;2300;114;;;
131002;0000;98;;;
131002;0100;40;;;
131002;0200;15;;;
131002;0300;16;;;
131002;0400;19;;;
131002;0500;24;;;
131002;0600;56;;;
131002;0700;49;;;
131002;0800;43;;;
131002;0900;28;;;
131002;1000;52;;;
131002;1100;33;;;
131002;1200;65;;;
131002;1300;65;;;
131002;1400;48;;;
131002;1500;50;;;
131002;1600;43;;;
131002;1700;60;;;
131002;1800;82;;;
131002;1900;108;;;
131002;2000;108;;;
131002;2100;177;;;
131002;2200;196;;;
131002;2300;133;;;
131003;0000;97;;;
131003;0100;124;;;
131003;0200;80;;;
131003;0300;83;;;
131003;0400;62;;;
131003;0500;90;;;
131003;0600;214;;;
131003;0700;87;;;
131003;0800;37;;;
131003;0900;38;;;
131003;1000;42;;;
131003;1100;26;;;
131003;1200;23;;;
131003;1300;30;;;
131003;1400;38;;;
131003;1500;43;;;
131003;1600;63;;;
131003;1700;73;;;
131003;1800;83;;;
131003;1900;87;;;
131003;2000;72;;;
131003;2100;76;;;
131003;2200;102;;;
131003;2300;51;;;
131004;0000;29;;;
131004;0100;17;;;
131004;0200;11;;;
131004;0300;9;;;
131004;0400;11;;;
131004;0500;26;;;
131004;0600;52;;;
131004;0700;75;;;
131004;0800;45;;;
131004;0900;38;;;
131004;1000;32;;;
131004;1100;43;;;
131004;1200;41;;;
131004;1300;33;;;
131004;1400;35;;;
131004;1500;31;;;
131004;1600;45;;;
131004;1700;45;;;
131004;1800;62;;;
131004;1900;87;;;
131004;2000;72;;;
131004;2100;51;;;
131004;2200;43;;;
131004;2300;41;;;
131005;0000;26;;;
131005;0100;19;;;
131005;0200;17;;;
131005;0300;13;;;
131005;0400;8;;;
131005;0500;8;;;
131005;0600;29;;;
131005;0700;66;;;
131005;0800;45;;;
131005;0900;41;;;
131005;1000;27;;;
131005;1100;30;;;
131005;1200;32;;;
131005;1300;26;;;
131005;1400;36;;;
131005;1500;56;;;
131005;1600;54;;;
131005;1700;56;;;
131005;1800;68;;;
131005;1900;94;;;
131005;2000;96;;;
131005;2100;85;;;
131005;2200;70;;;
131005;2300;48;;;
131006;0000;46;;;
131006;0100;43;;;
131006;0200;26;;;
131006;0300;23;;;
131006;0400;20;;;
131006;0500;9;;;
131006;0600;15;;;
131006;0700;33;;;
131006;0800;31;;;
131006;0900;28;;;
131006;1000;36;;;
